"Date","dateRep","day","month","year","cases","deaths","countriesAndTerritories","countriesCode"
"2020-05-12","12/5/2020","12","5","2020","1","0","China","CN"
"2020-05-13","13/05/2020","13","5","2020","7","0","China","CN"
"2020-05-14","14/05/2020","14","5","2020","6","0","China","CN"
"2020-05-15","15/05/2020","15","5","2020","5","0","China","CN"
"2020-05-16","16/05/2020","16","5","2020","9","0","China","CN"
"2020-05-17","17/05/2020","17","5","2020","6","1","China","CN"
"2020-05-18","18/05/2020","18","5","2020","10","0","China","CN"
"2020-05-19","19/05/2020","19","5","2020","9","0","China","CN"
"2020-05-20","20/05/2020","20","5","2020","2","0","China","CN"
"2020-05-21","21/05/2020","21","5","2020","2","0","China","CN"
"2020-05-22","22/05/2020","22","5","2020","12","0","China","CN"
"2020-05-23","23/05/2020","23","5","2020","2","0","China","CN"
"2020-05-24","24/05/2020","24","5","2020","3","0","China","CN"
"2020-05-25","25/05/2020","25","5","2020","11","0","China","CN"
"2020-05-26","26/05/2020","26","5","2020","7","0","China","CN"
"2020-05-27","27/05/2020","27","5","2020","1","0","China","CN"
"2020-05-28","28/05/2020","28","5","2020","3","0","China","CN"
"2020-05-29","29/05/2020","29","5","2020","0","0","China","CN"
"2020-05-30","30/05/2020","30","5","2020","17","0","China","CN"
"2020-05-31","31/05/2020","31","5","2020","5","0","China","CN"
"2020-06-01","1/6/2020","1","6","2020","19","0","China","CN"
"2020-06-02","2/6/2020","2","6","2020","7","0","China","CN"
"2020-06-03","3/6/2020","3","6","2020","5","0","China","CN"
"2020-06-04","4/6/2020","4","6","2020","1","0","China","CN"
"2020-06-05","5/6/2020","5","6","2020","11","0","China","CN"
"2020-06-06","6/6/2020","6","6","2020","6","0","China","CN"
"2020-06-07","7/6/2020","7","6","2020","9","0","China","CN"
"2020-06-08","8/6/2020","8","6","2020","5","0","China","CN"
"2020-06-09","9/6/2020","9","6","2020","3","0","China","CN"
"2020-06-10","10/6/2020","10","6","2020","4","0","China","CN"
"2020-06-11","11/6/2020","11","6","2020","11","0","China","CN"
"2020-06-12","12/6/2020","12","6","2020","7","0","China","CN"
"2020-06-13","13/06/2020","13","6","2020","12","0","China","CN"
"2020-06-14","14/06/2020","14","6","2020","60","0","China","CN"
"2020-06-15","15/06/2020","15","6","2020","47","0","China","CN"
"2020-06-16","16/06/2020","16","6","2020","43","0","China","CN"
"2020-06-17","17/06/2020","17","6","2020","44","0","China","CN"
"2020-06-18","18/06/2020","18","6","2020","36","0","China","CN"
"2020-06-19","19/06/2020","19","6","2020","36","0","China","CN"
"2020-06-20","20/06/2020","20","6","2020","30","0","China","CN"
"2020-06-21","21/06/2020","21","6","2020","29","1","China","CN"
"2020-06-22","22/06/2020","22","6","2020","19","0","China","CN"
"2020-06-23","23/06/2020","23","6","2020","52","0","China","CN"
"2020-06-24","24/06/2020","24","6","2020","29","1","China","CN"
"2020-06-25","25/06/2020","25","6","2020","20","0","China","CN"
"2020-06-26","26/06/2020","26","6","2020","28","1","China","CN"
"2020-06-27","27/06/2020","27","6","2020","24","0","China","CN"
"2020-06-28","28/06/2020","28","6","2020","18","0","China","CN"
"2020-06-29","29/06/2020","29","6","2020","14","0","China","CN"
"2020-06-30","30/06/2020","30","6","2020","23","0","China","CN"
"2020-07-01","1/7/2020","1","7","2020","5","0","China","CN"
"2020-07-02","2/7/2020","2","7","2020","31","0","China","CN"
"2020-07-03","3/7/2020","3","7","2020","14","0","China","CN"
"2020-07-04","4/7/2020","4","7","2020","9","0","China","CN"
"2020-07-05","5/7/2020","5","7","2020","18","0","China","CN"
"2020-07-06","6/7/2020","6","7","2020","14","0","China","CN"
"2020-07-07","7/7/2020","7","7","2020","25","0","China","CN"
"2020-07-08","8/7/2020","8","7","2020","21","0","China","CN"
"2020-07-09","9/7/2020","9","7","2020","33","0","China","CN"
"2020-07-10","10/7/2020","10","7","2020","46","0","China","CN"
"2020-07-11","11/7/2020","11","7","2020","40","0","China","CN"
"2020-07-12","12/7/2020","12","7","2020","35","0","China","CN"
"2020-07-13","13/07/2020","13","7","2020","46","0","China","CN"
"2020-07-14","14/07/2020","14","7","2020","55","1","China","CN"
"2020-07-15","15/07/2020","15","7","2020","54","0","China","CN"
"2020-07-16","16/07/2020","16","7","2020","20","2","China","CN"
"2020-07-17","17/07/2020","17","7","2020","77","0","China","CN"
"2020-07-18","18/07/2020","18","7","2020","80","1","China","CN"
"2020-07-19","19/07/2020","19","7","2020","80","1","China","CN"
