"Date","dateRep","day","month","year","cases","deaths","countriesAndTerritories","countriesCode"
"2020-04-01","1/4/2020","1","4","2020","0","0","Japan","JP"
"2020-04-02","2/4/2020","2","4","2020","225","1","Japan","JP"
"2020-04-03","3/4/2020","3","4","2020","439","6","Japan","JP"
"2020-04-04","4/4/2020","4","4","2020","318","6","Japan","JP"
"2020-04-05","5/4/2020","5","4","2020","336","1","Japan","JP"
"2020-04-06","6/4/2020","6","4","2020","383","3","Japan","JP"
"2020-04-07","7/4/2020","7","4","2020","252","7","Japan","JP"
"2020-04-08","8/4/2020","8","4","2020","351","1","Japan","JP"
"2020-04-09","9/4/2020","9","4","2020","511","4","Japan","JP"
"2020-04-10","10/4/2020","10","4","2020","579","3","Japan","JP"
"2020-04-11","11/4/2020","11","4","2020","658","6","Japan","JP"
"2020-04-12","12/4/2020","12","4","2020","743","4","Japan","JP"
"2020-04-13","13/04/2020","13","4","2020","507","4","Japan","JP"
"2020-04-14","14/04/2020","14","4","2020","390","7","Japan","JP"
"2020-04-15","15/04/2020","15","4","2020","455","10","Japan","JP"
"2020-04-16","16/04/2020","16","4","2020","482","17","Japan","JP"
"2020-04-17","17/04/2020","17","4","2020","585","12","Japan","JP"
"2020-04-18","18/04/2020","18","4","2020","628","6","Japan","JP"
"2020-04-19","19/04/2020","19","4","2020","566","7","Japan","JP"
"2020-04-20","20/04/2020","20","4","2020","390","10","Japan","JP"
"2020-04-21","21/04/2020","21","4","2020","367","15","Japan","JP"
"2020-04-22","22/04/2020","22","4","2020","378","0","Japan","JP"
"2020-04-23","23/04/2020","23","4","2020","276","101","Japan","JP"
"2020-04-24","24/04/2020","24","4","2020","468","30","Japan","JP"
"2020-04-25","25/04/2020","25","4","2020","652","17","Japan","JP"
"2020-04-26","26/04/2020","26","4","2020","290","14","Japan","JP"
"2020-04-27","27/04/2020","27","4","2020","203","3","Japan","JP"
"2020-04-28","28/04/2020","28","4","2020","191","25","Japan","JP"
"2020-04-29","29/04/2020","29","4","2020","276","13","Japan","JP"
"2020-04-30","30/04/2020","30","4","2020","236","26","Japan","JP"
"2020-05-01","1/5/2020","1","5","2020","193","17","Japan","JP"
"2020-05-02","2/5/2020","2","5","2020","263","26","Japan","JP"
"2020-05-03","3/5/2020","3","5","2020","295","34","Japan","JP"
"2020-05-04","4/5/2020","4","5","2020","218","18","Japan","JP"
"2020-05-05","5/5/2020","5","5","2020","174","11","Japan","JP"
"2020-05-06","6/5/2020","6","5","2020","123","22","Japan","JP"
"2020-05-07","7/5/2020","7","5","2020","109","8","Japan","JP"
"2020-05-08","8/5/2020","8","5","2020","84","6","Japan","JP"
"2020-05-09","9/5/2020","9","5","2020","81","44","Japan","JP"
"2020-05-10","10/5/2020","10","5","2020","119","12","Japan","JP"
"2020-05-11","11/5/2020","11","5","2020","51","8","Japan","JP"
"2020-05-12","12/5/2020","12","5","2020","76","22","Japan","JP"
"2020-05-13","13/05/2020","13","5","2020","150","25","Japan","JP"
"2020-05-14","14/05/2020","14","5","2020","55","19","Japan","JP"
"2020-05-15","15/05/2020","15","5","2020","114","23","Japan","JP"
"2020-05-16","16/05/2020","16","5","2020","44","15","Japan","JP"
